"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.57535959975E+003, +2.06886136878E-002, +0.00000000000E+000
+1.57786116323E+003, +2.07708819103E-002, +0.00000000000E+000
+1.58036272670E+003, +2.09333625171E-002, +0.00000000000E+000
+1.58286429018E+003, +2.11455111410E-002, +0.00000000000E+000
+1.58536585366E+003, +2.12521548353E-002, +0.00000000000E+000
+1.58786741714E+003, +2.13954002886E-002, +0.00000000000E+000
+1.59036898061E+003, +2.15067808691E-002, +0.00000000000E+000
+1.59287054409E+003, +2.16391578818E-002, +0.00000000000E+000
+1.59537210757E+003, +2.16992379282E-002, +0.00000000000E+000
+1.59787367104E+003, +2.18449062133E-002, +0.00000000000E+000
+1.60037523452E+003, +2.19794331989E-002, +0.00000000000E+000
+1.60287679800E+003, +2.20893075144E-002, +0.00000000000E+000
+1.60537836148E+003, +2.22360739828E-002, +0.00000000000E+000
+1.60787992495E+003, +2.23874042832E-002, +0.00000000000E+000
+1.61038148843E+003, +2.25296795878E-002, +0.00000000000E+000
+1.61288305191E+003, +2.25534960412E-002, +0.00000000000E+000
+1.61538461538E+003, +2.26592609291E-002, +0.00000000000E+000
+1.61788617886E+003, +2.29646368788E-002, +0.00000000000E+000
+1.62038774234E+003, +2.30413327789E-002, +0.00000000000E+000
+1.62288930582E+003, +2.31969272730E-002, +0.00000000000E+000
+1.62539086929E+003, +2.31981573442E-002, +0.00000000000E+000
+1.62789243277E+003, +2.33851571976E-002, +0.00000000000E+000
+1.63039399625E+003, +2.35544834105E-002, +0.00000000000E+000
+1.63289555972E+003, +2.34866265601E-002, +0.00000000000E+000
+1.63539712320E+003, +2.36812932560E-002, +0.00000000000E+000
+1.63789868668E+003, +2.39370712187E-002, +0.00000000000E+000
+1.64040025016E+003, +2.42022362350E-002, +0.00000000000E+000
+1.64290181363E+003, +2.42393813955E-002, +0.00000000000E+000
+1.64540337711E+003, +2.44011692788E-002, +0.00000000000E+000
+1.64790494059E+003, +2.45827577178E-002, +0.00000000000E+000
+1.65040650407E+003, +2.47471928505E-002, +0.00000000000E+000
+1.65290806754E+003, +2.47265968795E-002, +0.00000000000E+000
+1.65540963102E+003, +2.49159930754E-002, +0.00000000000E+000
